,city,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed
0,chapada dos guimaraes,-13.449997210127933,-53.819582534824235,97.75,25,8,3.83
1,new norfolk,-86.08541961156607,126.33288645118182,-56.33,89,90,14.56
2,pevek,69.02576347501042,170.07804914227398,28.81,90,100,21.6
3,constitucion,13.700885132865892,-123.6219636633839,79.75,80,100,19.56
4,ayan,57.76153713780991,138.5384543869992,8.65,99,91,7.06
5,esmeralda,22.638806700608484,-77.41136430418987,81.91,82,42,16.14
6,ballina,-29.894793740878605,155.1664447462042,69.85,86,48,18.6
7,beringovskiy,57.84926968908141,179.0706118653224,40.51,62,50,36.64
8,marawi,19.35799966892084,28.641219789724033,90.01,25,96,16.79
9,bolungarvik,67.55276946632779,-26.825734493087708,34.03,94,100,45.34
10,bredasdorp,-85.14624597023928,16.716425724693522,-59.75,99,59,11.53
11,butaritari,12.35491310703874,178.05787487864353,83.35,79,100,18.08
12,itoman,19.577168139109247,131.4023364681433,82.27,82,99,19.31
13,san cristobal,-7.421211869057871,-89.93612689238326,66.25,79,100,14.67
14,rikitea,-86.77470792113648,-131.59926236661954,-37.61,71,75,14.71
15,flinders,-35.71531490708677,129.33089853710948,56.35,73,0,25.87
16,chagda,57.08766530872572,131.16414682533292,15.85,89,58,2.71
17,karratha,-16.45151381769803,112.7725519192199,74.35,77,15,11.49
18,ancud,-71.19212724245354,-121.4095769310023,14.41,91,88,6.74
19,waipawa,-41.28667219659663,-101.64906038446165,51.85,90,87,22.25
20,duz,-47.436377725422275,179.5273872006601,44.65,92,0,18.46
21,shingu,31.723255881172747,9.08286422261898,81.91,27,0,9.22
22,baykit,32.44955505168768,137.35769409592132,73.81,81,53,14.46
23,punta arenas,61.094776823768,97.67592991564709,37.27,92,95,6.93
24,susanino,-73.00440068785069,-95.62264695934228,20.35,93,100,15.88
25,wausau,58.283693999851636,41.87759844400938,32.59,89,86,5.48
26,hilo,45.026448224468,-89.75830350012868,51.01,93,90,5.48
27,muisne,6.129594591109694,-150.76471399924745,81.01,81,47,13.03
28,saint-joseph,1.7912789614312743,-84.81064020104967,74.71,81,95,12.08
29,dashitou,-31.092061506605702,56.22453527269698,58.87,61,1,15.94
30,kaitangata,43.63468103319434,128.49827797913673,32.95,51,59,4.39
31,hobart,-68.44082867709228,174.0060320484422,4.69,94,100,16.83
32,atuona,-82.49081277089873,140.1605392147494,-41.93,90,69,15.93
33,nizhneyansk,9.591939373404031,-131.1064332246171,80.47,73,95,11.81
34,shahreza,-57.816198999132936,-127.88876713310478,29.89,63,100,31.78
35,bluefields,80.62907655736421,139.7431236390454,27.55,94,100,13.56
36,yellowknife,32.443008137845524,52.733264486258264,59.95,23,0,9.22
37,taunggyi,11.183939923117833,-83.20166185959023,82.63,72,100,8.82
38,cidreira,86.80937938666673,-98.60262467169237,9.37,95,100,8.64
39,mar del plata,21.43733448243404,97.70720619187773,61.93,97,62,1.18
40,ilulissat,-54.09763163434441,-24.47604379061832,23.41,69,100,10.8
41,comodoro rivadavia,-40.08280968111647,-55.41093817955206,42.85,81,100,5.81
42,cayenne,87.23754668834604,-41.731643821731694,8.11,90,100,8.82
43,tasiilaq,-46.25798215326106,-65.79411435754528,48.25,77,26,15.8
44,bosaso,8.11216709686066,-48.93796563839601,83.89,69,6,6.56
45,narsaq,75.0852005950305,-37.86433150863439,-28.79,97,20,10.45
46,cravo norte,13.982480571369564,48.33896222439665,80.11,75,0,8.97
47,yuncheng,85.18934662628587,-62.44730812701458,8.11,91,59,2.85
48,barrow,7.208779854599911,-69.53453804450612,83.71,73,100,2.92
49,bardiyah,22.93200744778025,111.95744163870484,68.41,92,6,2.45
50,kilindoni,80.39844192741575,-161.32384968787596,0.19,87,26,7.72
51,marcona,71.76935968677063,171.7990489005624,32.77,94,100,12.39
52,thompson,31.65622223252015,25.033923978639535,70.21,68,0,7.75
53,dubti,-8.505694032037098,40.46384323221997,79.57,83,1,16.04
54,diban,5.008792737842711,-140.44047256365005,80.11,76,27,11.81
55,sitka,-22.544489961476373,-83.33202917448091,63.37,67,18,3.25
56,srednekolymsk,-45.53417707738782,146.03314609598618,49.15,68,0,15.14
57,andenes,59.62875603910214,-92.82459755517658,34.57,89,100,24.91
58,albany,12.967785560548634,40.8641737311888,97.39,28,42,12.42
59,naryan-mar,31.235644317693357,36.087851592190134,77,36,75,6.93
60,inirida,44.54527444320206,-142.20397542782382,60.67,77,91,32.98
61,nyzhni sirohozy,-75.0579267924593,-130.89284113746103,5.23,67,45,9.58
62,ushuaia,-58.51122567175211,147.1325458614944,31.51,80,73,25.8
63,puerto ayora,-87.19343786879506,134.0905592067329,-52.91,82,97,13.4
64,khatanga,-52.108562490116306,-135.0182062084577,36.91,70,100,19.04
65,siniscola,72.84852221246808,153.00875935315656,27.37,89,96,6.29
66,castro,-85.01736235266088,142.71986114266946,-38.69,93,98,16.96
67,busselton,-9.509352707000431,-128.7843861044787,78.67,74,2,17.56
68,kupang,72.68322085089883,13.769112622428935,38.53,60,99,4.08
69,ahmadpur sial,-69.81694679296348,123.72361001272964,-24.83,69,100,18.16
70,bolgatanga,68.64201228090377,52.027120866383086,35.29,96,100,15.9
71,vaini,71.88413609552674,137.41181832666297,25.03,84,100,19.21
72,belushya guba,1.8424905180779945,-67.61554940291448,90.73,52,82,2.76
73,dingle,46.90712390786106,34.37543914109028,59.05,50,26,5.02
74,high level,-78.39552703295641,-59.633032921735435,-21.59,86,0,13.32
75,cape town,18.762354895912893,-121.13944359827643,73.63,81,14,11.54
76,puerto escondido,-17.35988321004234,-103.54287410830672,68.59,73,80,19.22
77,omsukchan,73.62404829010381,101.84652829791378,7.03,87,0,7.86
78,limon,40.93169191781024,10.12264836504545,66.2,72,14,11.41
79,homa bay,-47.182759632683485,-83.45962152105314,45.01,87,43,5.78
80,alibag,-65.46827918912722,85.89114923152874,-9.71,90,65,25.86
81,gull lake,-14.066946287528722,124.06719715754281,80.83,64,91,6.67
82,vaitupu,30.922639112940885,71.54745948505774,83.89,23,0,3.53
83,simbahan,-73.37923956222863,24.8843418883973,-28.61,97,100,18.94
84,hermanus,10.406604808866149,-0.6225082023233313,80.29,80,100,5.18
85,praia,-77.91593712542331,96.53037806144431,-65.87,100,91,7.14
86,vardo,-51.182069885479116,-98.64496510869576,42.13,94,100,13.16
87,jamestown,-82.33587778724686,-171.8927368654757,-16.73,97,96,5.54
88,artyom,79.41479699223012,58.26306452515422,27.01,84,76,14.99
89,korla,-76.23307899641601,92.36860029455033,-66.77,100,82,6.52
90,saint-pierre,49.924520826707464,-18.389474526668636,52.75,70,77,27.64
91,airai,60.27549311703439,-118.35448195749606,36.91,67,100,7.51
92,ponta do sol,-74.27472361560899,-9.619136745210369,-15.29,100,100,17.42
93,samarai,7.100416540823687,-99.94666673777068,77.05,89,82,17.96
94,bandarbeyla,-44.44518248225992,147.82796577975915,51.13,70,39,14.63
95,dikson,85.00131636454563,-62.83594117075654,7.93,91,59,2.57
96,port alfred,74.73316029735858,54.29040729042194,28.99,70,0,2.7
97,qaanaaq,64.97601204821984,155.96253571966508,14.23,95,100,5
98,kapaa,16.03200842970972,-85.46621091068175,83.53,76,95,16.29
99,muros,-0.24920806207720148,34.51039609353583,73.4,73,40,2.24
100,zhigansk,-77.29554833592604,91.59208861145487,-66.95,100,95,6.49
101,taolanaro,18.650171788843622,71.96677596366837,85.69,72,0,11.5
102,qaqortoq,50.245549247653315,-108.98536806840043,39.79,58,71,7.44
103,navirai,-58.25636321929096,-91.33356745023598,39.61,92,100,36.95
104,faanui,72.95084576841481,-32.218826271403174,-18.89,86,54,13.21
105,lesnyye polyany,3.6809332788290448,-179.0998721456186,79.03,83,100,10.97
106,lalomanu,6.646739271659868,119.6967858148297,84.25,69,81,6.11
107,mataura,-86.73810324245967,12.00005666492956,-62.09,94,44,13
108,saint george,11.703481083537255,-21.051975495883937,81.37,79,9,13.91
109,naushahro firoz,86.92054179328619,36.85468776341705,3.25,95,100,8.63
110,imbituba,-44.27787881464995,-10.144792056684395,39.79,73,66,11.88
111,amderma,-44.91216706722304,179.378670344083,49.15,89,100,29.56
112,kalmunai,40.59662832370904,52.0059073911101,68.05,61,0,3.63
113,tessalit,78.68056847941659,172.86583692899677,20.53,94,100,11.05
114,katsuura,40.354830045347285,86.22590495195357,57.43,41,78,2.72
115,bathsheba,39.89835121930358,-56.55112861856193,71.29,88,100,17.24
116,leningradskiy,15.937816414468557,143.87455833951725,81.73,81,54,14.87
117,kodiak,-89.44428347409826,106.42214873343568,-56.51,77,20,6.11
118,piacabucu,20.862366696935155,-33.8754322416288,76.69,77,15,20.23
119,guerrero negro,-12.670360466268988,153.68526506238635,77.41,74,41,17.41
120,mahebourg,7.183893083957457,60.2376813040255,83.53,69,60,3.7
121,jacareacanga,80.45723426664819,71.14248708717375,20.35,74,100,11.77
122,hithadhoo,-89.26709974406693,53.40835414124069,-55.79,77,2,7.89
123,sorland,79.78858752919055,-91.71613085318026,-2.33,94,82,10.52
124,kutum,-21.467561533980884,113.91921853824874,70.75,60,0,20.99
125,siirt,34.61920956593424,-160.75426439940887,67.15,65,45,13.99
126,jiwani,45.23934721070833,-13.06627790254447,63.91,92,100,28.17
127,saskylakh,1.4484857063040266,-98.04215542752122,72.19,75,100,13.56
